,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
1589,1590,全家,進階,第4級,1.個人資料,16,25,"[['全家', ['26052']]]",ㄑㄩㄢˊ ㄐㄧㄚ,quánjiā,whole family
1590,1591,生,進階,第4級,1.個人資料,235,236,"[['生', ['35004']]]",ㄕㄥ,shēng,"to be born, to give birth, life, to grow, raw, uncooked, student"
1591,1592,外語,進階,第4級,1.個人資料,6,3,"[['外語', ['43279']]]",ㄨㄞˋ ㄩˇ,wàiyǔ,"foreign language, CL:門|门[men2]"
1592,1593,羊,進階,第4級,1.個人資料,61,41,"[['羊', ['27994', '42232']]]",ㄧㄤˊ,yáng,"sheep, goat, CL:頭|头[tou2], 隻|只[zhi1]"
1593,1594,移民,進階,第4級,1.個人資料,25,82,"[['移民', ['40353']]]",ㄧˊ ㄇㄧㄣˊ,yímín,"to immigrate, to migrate, emigrant, immigrant"
1594,1595,職業,進階,第4級,1.個人資料,52,36,"[['職業', ['29107']]]",ㄓˊ ㄧㄝˋ,zhíyè,"occupation, profession, vocation, professional"
1595,1596,自信,進階,第4級,1.個人資料,61,37,"[['自信', ['36843']]]",ㄗˋ ㄒㄧㄣˋ,zìxìn,"to have confidence in oneself, self-confidence"
1596,1597,祖父,進階,第4級,1.個人資料,23,13,"[['祖父', ['37402']]]",ㄗㄨˇ ㄈㄨˋ,zǔfù,"father's father, paternal grandfather"
1597,1598,祖母,進階,第4級,1.個人資料,22,6,"[['祖母', ['37401']]]",ㄗㄨˇ ㄇㄨˇ,zǔmǔ,"father's mother, paternal grandmother"
1598,1599,安靜,進階,第4級,2.日常起居,54,26,"[['安靜', ['39717']]]",ㄢ ㄐㄧㄥˋ,ānjìng,"quiet, peaceful, calm"
1599,1600,玻璃,進階,第4級,2.日常起居,42,38,"[['玻璃', ['123']]]",ㄅㄛ ㄌㄧˊ,bōlí,"glass, CL:張|张[zhang1], 塊|块[kuai4], (slang) male homosexual"
1600,1601,出租,進階,第4級,2.日常起居,6,4,"[['出租', ['32553']]]",ㄔㄨ ㄗㄨ,chūzū,to rent
1601,1602,打掃,進階,第4級,2.日常起居,13,22,"[['打掃', ['6915']]]",ㄉㄚˇ ㄙㄠˇ,dǎsǎo,"to clean, to sweep"
1602,1603,大廳,進階,第4級,2.日常起居,25,3,"[['大廳', ['7042']]]",ㄉㄚˋ ㄊㄧㄥ,dàtīng,"hall, lobby"
1603,1604,電風扇/電扇,進階,第4級,2.日常起居,4,15,"[['電風扇', ['8885']], ['電扇', ['8991']]]",ㄉㄧㄢˋ ㄈㄥ ㄕㄢˋ/ㄉㄧㄢˋ ㄕㄢˋ,diànfēngshàn/diànshàn,"electric fan, CL:架[jia4], 臺|台[tai2]"
1604,1605,都市,進階,第4級,2.日常起居,27,79,"[['都市', ['9186']]]",ㄉㄨ ㄕˋ,dūshì,"city, metropolis"
1605,1606,費用,進階,第4級,2.日常起居,37,32,"[['費用', ['5431']]]",ㄈㄟˋ ㄩㄥˋ,fèiyòng,"cost, expenditure, expense, CL:筆|笔[bi3], 個|个[ge4]"
1606,1607,公寓,進階,第4級,2.日常起居,40,7,"[['公寓', ['17819']]]",ㄍㄨㄥ ㄩˋ,gōngyù,"apartment building, block of flats, CL:套[tao4]"
1607,1608,花園,進階,第4級,2.日常起居,51,19,"[['花園', ['20105']]]",ㄏㄨㄚ ㄩㄢˊ,huāyuán,"garden, CL:座[zuo4], 個|个[ge4]"
1608,1609,化妝,進階,第4級,2.日常起居,7,7,"[['化妝', ['20183']]]",ㄏㄨㄚˋ ㄓㄨㄤ,huàzhuāng,to put on makeup
1609,1610,回收,進階,第4級,2.日常起居,9,214,"[['回收', ['20558']]]",ㄏㄨㄟˊ ㄕㄡ,huíshōu,"to recycle, to reclaim, to retrieve, to recover, to recall (a defective product)"
1610,1611,家鄉,進階,第4級,2.日常起居,36,57,"[['家鄉', ['21834']]]",ㄐㄧㄚ ㄒㄧㄤ,jiāxiāng,"hometown, native place, CL:個|个[ge4]"
1611,1612,郊區,進階,第4級,2.日常起居,8,8,"[['郊區', ['22341']]]",ㄐㄧㄠ ㄑㄩ,jiāoqū,"suburban district, outskirts, suburbs, CL:個|个[ge4]"
1612,1613,空間,進階,第4級,2.日常起居,190,151,"[['空間', ['18923']]]",ㄎㄨㄥ ㄐㄧㄢ,kōngjiān,"space, room, (fig.) scope, leeway, (astronomy) outer space, (physics, math.) space"
1613,1614,老公,進階,第4級,2.日常起居,13,40,"[['老公', ['13546']]]",ㄌㄠˇ ㄍㄨㄥ,lǎogōng,"(coll.) husband, (coll.) eunuch, see also 老公[lao3 gong1]"
1614,1615,老婆,進階,第4級,2.日常起居,54,50,"[['老婆', ['45149']]]",ㄌㄠˇ ㄆㄛˊ,lǎopó,(coll.) wife
1615,1616,暖氣,進階,第4級,2.日常起居,4,4,"[['暖氣', ['12987']]]",ㄋㄨㄢˇ ㄑㄧˋ,nuǎnqì,"central heating, heater, warm air"
1616,1617,區,進階,第4級,2.日常起居,18,82,"[['區', ['25871', '39640']]]",ㄑㄩ,qū,"area, region, district, small, distinguish, CL:個|个[ge4]"
1617,1618,掃,進階,第4級,2.日常起居,16,35,"[['掃', ['38799', '38815']]]",ㄙㄠˇ,sǎo,to sweep
1618,1619,掃地,進階,第4級,2.日常起居,6,10,"[['掃地', ['38803']]]",ㄙㄠˇ ㄉㄧˋ,sǎodì,"to sweep the floor, (fig.) (of one's reputation etc) to reach rock bottom, to be at an all-time low"
1619,1620,設備,進階,第4級,2.日常起居,53,50,"[['設備', ['33977']]]",ㄕㄜˋ ㄅㄟˋ,shèbèi,"equipment, facilities, installations, CL:個|个[ge4]"
1620,1621,瓦斯,進階,第4級,2.日常起居,6,17,"[['瓦斯', ['43121']]]",ㄨㄚˇ ㄙ,wǎsī,gas (loanword)
1621,1622,文具,進階,第4級,2.日常起居,4,6,"[['文具', ['43881']]]",ㄨㄣˊ ㄐㄩˋ,wénjù,"stationery, item of stationery (pen, pencil, eraser, pencil sharpener etc)"
1622,1623,屋頂,進階,第4級,2.日常起居,26,50,"[['屋頂', ['42636']]]",ㄨ ㄉㄧㄥˇ,wūdǐng,"roof, CL:個|个[ge4]"
1623,1624,巷,進階,第4級,2.日常起居,9,4,"[['巷', ['28058']]]",ㄒㄧㄤˋ,xiàng,"lane, alley"
1624,1625,巷口,進階,第4級,2.日常起居,3,1,[],ㄒㄧㄤˋ ㄎㄡˇ,xiàngkǒu,entrance to an alley
1625,1626,香水,進階,第4級,2.日常起居,7,3,"[['香水', ['27954']]]",ㄒㄧㄤ ㄕㄨㄟˇ,xiāngshuǐ,"perfume, cologne"
1626,1627,香菸/菸,進階,第4級,2.日常起居,27,12,[],ㄒㄧㄤ ㄧㄢ/ㄧㄢ,xiāngyān/yān,"to wither, dried leaves, faded, withered"
1627,1628,巷子,進階,第4級,2.日常起居,8,4,"[['巷子', ['28062']]]",ㄒㄧㄤˋ ˙ㄗ,xiàngzi,alley
1628,1629,醒,進階,第4級,2.日常起居,30,12,"[['醒', ['28284']]]",ㄒㄧㄥˇ,xǐng,"to wake up, to be awake, to become aware, to sober up, to come to"
1629,1630,修理,進階,第4級,2.日常起居,15,21,"[['修理', ['27184']]]",ㄒㄧㄡ ㄌㄧˇ,xiūlǐ,"to repair, to fix, to prune, to trim, (coll.) to sort sb out, to fix sb"
1630,1631,整理,進階,第4級,2.日常起居,76,80,"[['整理', ['30321']]]",ㄓㄥˇ ㄌㄧˇ,zhěnglǐ,"to arrange, to tidy up, to sort out, to straighten out, to list systematically, to collate (data, files), to pack (luggage)"
1631,1632,煮飯,進階,第4級,2.日常起居,10,30,"[['煮飯', ['30640']]]",ㄓㄨˇ ㄈㄢˋ,zhǔfàn,to cook
1632,1633,租金,進階,第4級,2.日常起居,4,6,"[['租金', ['37356']]]",ㄗㄨ ㄐㄧㄣ,zūjīn,rent
1633,1634,做夢/作夢,進階,第4級,2.日常起居,23,11,"[['做夢', ['37550']]]",ㄗㄨㄛˋ ㄇㄥˋ ,zuòmèng,"to dream, to have a dream, fig. illusion, fantasy, pipe dream"
1634,1635,成長,進階,第4級,3.職業,188,189,"[['成長', ['32319']]]",ㄔㄥˊ ㄓㄤˇ,chéngzhǎng,"to mature, to grow, growth"
1635,1636,地位,進階,第4級,3.職業,137,32,"[['地位', ['8522']]]",ㄉㄧˋ ㄨㄟˋ,dìwèi,"position, status, place, CL:個|个[ge4]"
1636,1637,發展,進階,第4級,3.職業,407,347,"[['發展', ['5175']]]",ㄈㄚ ㄓㄢˇ,fāzhǎn,"development, growth, to develop, to grow, to expand"
1637,1638,工廠,進階,第4級,3.職業,80,81,"[['工廠', ['17589']]]",ㄍㄨㄥ ㄔㄤˇ,gōngchǎng,"factory, CL:家[jia1], 座[zuo4]"
1638,1639,會議,進階,第4級,3.職業,121,97,"[['會議', ['20687']]]",ㄏㄨㄟˋ ㄧˋ,huìyì,"meeting, conference, CL:場|场[chang3], 屆|届[jie4]"
1639,1640,技術,進階,第4級,3.職業,178,160,"[['技術', ['21568']]]",ㄐㄧˋ ㄕㄨˋ,jìshù,"technology, technique, skill, CL:門|门[men2], 種|种[zhong3], 項|项[xiang4]"
1640,1641,記者,進階,第4級,3.職業,67,73,"[['記者', ['21610']]]",ㄐㄧˋ ㄓㄜˇ,jìzhě,"reporter, journalist, CL:個|个[ge4]"
1641,1642,競爭,進階,第4級,3.職業,130,41,"[['競爭', ['23833']]]",ㄐㄧㄥˋ ㄓㄥ,jìngzhēng,"to compete, competition"
1642,1643,開放,進階,第4級,3.職業,71,46,"[['開放', ['18128']]]",ㄎㄞ ㄈㄤˋ,kāifàng,"to bloom, to open, to be open (to the public), to open up (to the outside), to be open-minded, unrestrained by convention, unconstrained in one's sexuality"
1643,1644,買賣,進階,第4級,3.職業,18,10,"[['買賣', ['3798']]]",ㄇㄞˇ ㄇㄞˋ,mǎimài,"buying and selling, business, business transactions, CL:樁|桩[zhuang1], 次[ci4]"
1644,1645,面試,進階,第4級,3.職業,10,1,"[['面試', ['4682']]]",ㄇㄧㄢˋ ㄕˋ,miànshì,"to be interviewed (as a candidate), interview"
1645,1646,派,進階,第4級,3.職業,158,62,"[['派', ['2581']]]",ㄆㄞˋ,pài,"clique, school, group, faction, to dispatch, to send, to assign, to appoint, pi (Greek letter Ππ), the circular ratio pi = 3.1415926, (loanword) pie"
1646,1647,請假,進階,第4級,3.職業,6,9,"[['請假', ['25812']]]",ㄑㄧㄥˇ ㄐㄧㄚˋ,qǐngjià,to request leave of absence
1647,1648,人才,進階,第4級,3.職業,72,12,"[['人才', ['36175']]]",ㄖㄣˊ ㄘㄞˊ,réncái,"talent, talented person, looks, attractive looks"
1648,1649,上班族,進階,第4級,3.職業,10,13,[],ㄕㄤˋ ㄅㄢ ㄗㄨˊ,shàngbānzú,office workers (as social group)
1649,1650,收入,進階,第4級,3.職業,50,90,"[['收入', ['34132']]]",ㄕㄡ ㄖㄨˋ,shōurù,"to take in, income, revenue, CL:筆|笔[bi3], 個|个[ge4]"
1650,1651,同事,進階,第4級,3.職業,82,34,"[['同事', ['12008']]]",ㄊㄨㄥˊ ㄕˋ,tóngshì,"colleague, co-worker, CL:個|个[ge4], 位[wei4]"
1651,1652,退休,進階,第4級,3.職業,72,81,"[['退休', ['11786']]]",ㄊㄨㄟˋ ㄒㄧㄡ,tuìxiū,"to retire (from the workforce), to go into retirement"
1652,1653,薪水,進階,第4級,3.職業,24,28,"[['薪水', ['27795']]]",ㄒㄧㄣ ㄕㄨㄟˇ,xīnshuǐ,"salary, wage"
1653,1654,訓練,進階,第4級,3.職業,200,119,"[['訓練', ['28787']]]",ㄒㄩㄣˋ ㄌㄧㄢˋ,xùnliàn,"to train, to drill, training, CL:個|个[ge4]"
1654,1655,員工,進階,第4級,3.職業,151,55,"[['員工', ['44823']]]",ㄩㄢˊ ㄍㄨㄥ,yuángōng,"staff, personnel, employee"
1655,1656,賺,進階,第4級,3.職業,40,72,"[['賺', ['31021']]]",ㄓㄨㄢˋ,zhuàn,"to earn, to make a profit"
1656,1657,賺錢,進階,第4級,3.職業,35,63,"[['賺錢', ['31023']]]",ㄓㄨㄢˋ ㄑㄧㄢˊ,zhuànqián,"to earn money, moneymaking"
1657,1658,專業,進階,第4級,3.職業,150,110,"[['專業', ['30941']]]",ㄓㄨㄢ ㄧㄝˋ,zhuānyè,"specialty, specialized field, main field of study (at university), major, CL:門|门[men2], 個|个[ge4], professional"
1658,1659,資源,進階,第4級,3.職業,105,263,"[['資源', ['36659']]]",ㄗ ㄩㄢˊ,zīyuán,"natural resource (such as water or minerals), resource (such as manpower or tourism)"
1659,1660,表演,進階,第4級,4.休閒、娛樂,66,99,"[['表演', ['1530']]]",ㄅㄧㄠˇ ㄧㄢˇ,biǎoyǎn,"play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chang3]"
1660,1661,博物館,進階,第4級,4.休閒、娛樂,29,45,"[['博物館', ['205']]]",ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ,bówùguǎn,museum
1661,1662,導演,進階,第4級,4.休閒、娛樂,54,16,"[['導演', ['7659']]]",ㄉㄠˇ ㄧㄢˇ,dǎoyǎn,"to direct, director (film etc)"
1662,1663,隊,進階,第4級,4.休閒、娛樂,30,31,"[['隊', ['9491']]]",ㄉㄨㄟˋ,duì,"squadron, team, group, CL:個|个[ge4]"
1663,1664,鋼琴,進階,第4級,4.休閒、娛樂,53,12,"[['鋼琴', ['16535']]]",ㄍㄤ ㄑㄧㄣˊ,gāngqín,"piano, CL:架[jia4], 臺|台[tai2]"
1664,1665,歌手,進階,第4級,4.休閒、娛樂,12,8,"[['歌手', ['15851']]]",ㄍㄜ ㄕㄡˇ,gēshǒu,singer
1665,1666,觀眾,進階,第4級,4.休閒、娛樂,86,267,"[['觀眾', ['17398']]]",ㄍㄨㄢ ㄓㄨㄥˋ,guānzhòng,"spectators, audience, visitors (to an exhibition etc)"
1666,1667,滑雪,進階,第4級,4.休閒、娛樂,9,2,"[['滑雪', ['20155']]]",ㄏㄨㄚˊ ㄒㄩㄝˇ,huáxuě,"to ski, skiing"
1667,1668,獎,進階,第4級,4.休閒、娛樂,24,44,"[['獎', ['23466']]]",ㄐㄧㄤˇ,jiǎng,"prize, award, encouragement, CL:個|个[ge4]"
1668,1669,節目,進階,第4級,4.休閒、娛樂,66,178,"[['節目', ['22135']]]",ㄐㄧㄝˊ ㄇㄨˋ,jiémù,"program, item (on a program), CL:臺|台[tai2], 個|个[ge4], 套[tao4]"
1669,1670,卡通,進階,第4級,4.休閒、娛樂,8,18,"[['卡通', ['17920']]]",ㄎㄚˇ ㄊㄨㄥ,kǎtōng,cartoon (loanword)
1670,1671,溜冰,進階,第4級,4.休閒、娛樂,2,1,"[['溜冰', ['14441']]]",ㄌㄧㄡ ㄅㄧㄥ,liūbīng,"ice skating, (slang) to do meth"
1671,1672,毛筆,進階,第4級,4.休閒、娛樂,5,3,"[['毛筆', ['4003']]]",ㄇㄠˊ ㄅㄧˇ,máobǐ,"writing brush, CL:枝[zhi1], 管[guan3]"
1672,1673,媒體,進階,第4級,4.休閒、娛樂,94,108,"[['媒體', ['3912']]]",ㄇㄟˊ ㄊㄧˇ,méitǐ,"media, esp. news media"
1673,1674,內容,進階,第4級,4.休閒、娛樂,182,73,"[['內容', ['12268']]]",ㄋㄟˋ ㄖㄨㄥˊ,nèiróng,"content, substance, details, CL:個|个[ge4], 項|项[xiang4]"
1674,1675,球隊,進階,第4級,4.休閒、娛樂,24,4,"[['球隊', ['25027']]]",ㄑㄧㄡˊ ㄉㄨㄟˋ,qiúduì,"sports team (basketball, soccer, football etc)"
1675,1676,球賽,進階,第4級,4.休閒、娛樂,9,1,"[['球賽', ['25035']]]",ㄑㄧㄡˊ ㄙㄞˋ,qiúsài,"(ball sports) game, match, CL:場|场[chang3]"
1676,1677,輸,進階,第4級,4.休閒、娛樂,36,37,"[['輸', ['35352']]]",ㄕㄨ,shū,"to lose, to be beaten, (bound form) to transport, (literary) to donate, to contribute, (coll.) to enter (a password)"
1677,1678,水準,進階,第4級,4.休閒、娛樂,41,16,"[['水準', ['35678']]]",ㄕㄨㄟˇ ㄓㄨㄣˇ,shuǐzhǔn,"level (of achievement etc), standard, level (surveying)"
1678,1679,網友,進階,第4級,4.休閒、娛樂,5,10,[],ㄨㄤˇ ㄧㄡˇ,wǎngyǒu,"online friend, Internet user"
1679,1680,舞台/舞臺,進階,第4級,4.休閒、娛樂,52,67,[],ㄨˇ ㄊㄞˊ,wǔtái,"(lit. and fig.) stage, arena"
1680,1681,享受,進階,第4級,4.休閒、娛樂,89,78,"[['享受', ['28017']]]",ㄒㄧㄤˇ ㄕㄡˋ,xiǎngshòu,"to enjoy, to live it up, pleasure, CL:種|种[zhong3]"
1681,1682,小說,進階,第4級,4.休閒、娛樂,188,22,"[['小說', ['27045']]]",ㄒㄧㄠˇ ㄕㄨㄛ,xiǎoshuō,"novel, fiction, CL:本[ben3], 部[bu4]"
1682,1683,休閒,進階,第4級,4.休閒、娛樂,22,20,"[['休閒', ['27164']]]",ㄒㄧㄡ ㄒㄧㄢˊ,xiūxián,"leisure, relaxation, not working, idle, to enjoy leisure, to lie fallow"
1683,1684,演員,進階,第4級,4.休閒、娛樂,41,21,"[['演員', ['41860']]]",ㄧㄢˇ ㄩㄢˊ,yǎnyuán,"actor or actress, performer, CL:個|个[ge4], 位[wei4], 名[ming2]"
1684,1685,養,進階,第4級,4.休閒、娛樂,75,170,"[['養', ['42331', '42366']]]",ㄧㄤˇ,yǎng,"to raise (animals), to bring up (children), to keep (pets), to support, to give birth"
1685,1686,藝術,進階,第4級,4.休閒、娛樂,212,110,"[['藝術', ['40736']]]",ㄧˋ ㄕㄨˋ,yìshù,art
1686,1687,贏,進階,第4級,4.休閒、娛樂,45,36,"[['贏', ['42508']]]",ㄧㄥˊ,yíng,"to beat, to win, to profit"
1687,1688,影片,進階,第4級,4.休閒、娛樂,61,95,"[['影片', ['42522']]]",ㄧㄥˇ ㄆㄧㄢˋ,yǐngpiàn,"a copy of a film, film, motion picture, movie, CL:部[bu4]"
1688,1689,展覽,進階,第4級,4.休閒、娛樂,14,21,"[['展覽', ['29816']]]",ㄓㄢˇ ㄌㄢˇ,zhǎnlǎn,"to put on display, to exhibit, exhibition, show, CL:個|个[ge4], 次[ci4]"
1689,1690,主題,進階,第4級,4.休閒、娛樂,83,40,"[['主題', ['30580']]]",ㄓㄨˇ ㄊㄧˊ,zhǔtí,"theme, subject"
1690,1691,班機,進階,第4級,5.交通、旅遊,5,4,"[['班機', ['902']]]",ㄅㄢ ㄐㄧ,bānjī,"airliner, (regular) flight (CL:趟[tang4], 次[ci4], 班[ban1])"
1691,1692,超過,進階,第4級,5.交通、旅遊,129,244,"[['超過', ['31743']]]",ㄔㄠ ㄍㄨㄛˋ,chāoguò,"to surpass, to exceed, to outstrip"
1692,1693,潮溼/潮濕,進階,第4級,5.交通、旅遊,13,22,"[['潮溼', ['31787']]]",ㄔㄠˊ ㄕ,cháoshī,"damp, moist"
1693,1694,出發,進階,第4級,5.交通、旅遊,60,59,"[['出發', ['32459']]]",ㄔㄨ ㄈㄚ,chūfā,"to set off, to start (on a journey)"
1694,1695,島,進階,第4級,5.交通、旅遊,55,81,"[['島', ['7625']]]",ㄉㄠˇ,dǎo,"island, CL:個|个[ge4], 座[zuo4]"
1695,1696,地區,進階,第4級,5.交通、旅遊,129,329,"[['地區', ['8474']]]",ㄉㄧˋ ㄑㄩ,dìqū,"local, regional, district (not necessarily formal administrative unit), region, area, as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city), CL:個|个[ge4]"
1696,1697,地震,進階,第4級,5.交通、旅遊,16,176,"[['地震', ['8502']]]",ㄉㄧˋ ㄓㄣˋ,dìzhèn,earthquake
1697,1698,動物園,進階,第4級,5.交通、旅遊,9,14,"[['動物園', ['9901']]]",ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ,dòngwùyuán,"zoo, CL:個|个[ge4]"
1698,1699,高鐵,進階,第4級,5.交通、旅遊,3,15,[],ㄍㄠ ㄊㄧㄝˇ,gāotiě,high speed rail
1699,1700,工具,進階,第4級,5.交通、旅遊,99,72,"[['工具', ['17581']]]",ㄍㄨㄥ ㄐㄩˋ,gōngjù,"tool, instrument, utensil, means (to achieve a goal etc)"
1700,1701,觀光,進階,第4級,5.交通、旅遊,18,68,"[['觀光', ['17390']]]",ㄍㄨㄢ ㄍㄨㄤ,guānguāng,"to tour, sightseeing, tourism"
1701,1702,觀光客,進階,第4級,5.交通、旅遊,8,30,"[['觀光客', ['17391']]]",ㄍㄨㄢ ㄍㄨㄤ ㄎㄜˋ,guānguāngkè,tourist
1702,1703,海洋,進階,第4級,5.交通、旅遊,30,132,"[['海洋', ['19307']]]",ㄏㄞˇ ㄧㄤˊ,hǎiyáng,"ocean, CL:個|个[ge4]"
1703,1704,紅綠燈,進階,第4級,5.交通、旅遊,2,5,"[['紅綠燈', ['21114']]]",ㄏㄨㄥˊ ㄌㄩˋ ㄉㄥ,hónglǜdēng,"traffic light, traffic signal"
1704,1705,護照,進階,第4級,5.交通、旅遊,8,4,"[['護照', ['20022']]]",ㄏㄨˋ ㄓㄠˋ,hùzhào,"passport, CL:本[ben3], 個|个[ge4]"
1705,1706,進口,進階,第4級,5.交通、旅遊,21,37,"[['進口', ['23337']]]",ㄐㄧㄣˋ ㄎㄡˇ,jìnkǒu,"to import, imported, entrance, inlet (for the intake of air, water etc)"
1706,1707,進入,進階,第4級,5.交通、旅遊,236,219,"[['進入', ['23363']]]",ㄐㄧㄣˋ ㄖㄨˋ,jìnrù,"to enter, to join, to go into"
1707,1708,旅遊,進階,第4級,5.交通、旅遊,29,52,"[['旅遊', ['15726']]]",ㄌㄩˇ ㄧㄡˊ,lǚyóu,"trip, journey, tourism, travel, tour, to travel"
1708,1709,悶熱,進階,第4級,5.交通、旅遊,5,5,"[['悶熱', ['4226']]]",ㄇㄣ ㄖㄜˋ,mēnrè,"sultry, sultriness, hot and stuffy, stifling hot"
1709,1710,起飛,進階,第4級,5.交通、旅遊,12,5,"[['起飛', ['24575']]]",ㄑㄧˇ ㄈㄟ,qǐfēi,(of an aircraft) to take off
1710,1711,氣候,進階,第4級,5.交通、旅遊,27,261,"[['氣候', ['24693']]]",ㄑㄧˋ ㄏㄡˋ,qìhòu,"(meteorology) climate, (fig.) climate, prevailing conditions (in human affairs), CL:種|种[zhong3]"
1711,1712,氣溫,進階,第4級,5.交通、旅遊,12,47,"[['氣溫', ['24724']]]",ㄑㄧˋ ㄨㄣ,qìwēn,"air temperature, CL:個|个[ge4]"
1712,1713,橋,進階,第4級,5.交通、旅遊,49,70,"[['橋', ['24887']]]",ㄑㄧㄠˊ,qiáo,"bridge, CL:座[zuo4]"
1713,1714,人口,進階,第4級,5.交通、旅遊,66,148,"[['人口', ['36097']]]",ㄖㄣˊ ㄎㄡˇ,rénkǒu,"population, people"
1714,1715,人數,進階,第4級,5.交通、旅遊,45,73,"[['人數', ['36165']]]",ㄖㄣˊ ㄕㄨˋ,rénshù,number of people
1715,1716,人行道,進階,第4級,5.交通、旅遊,11,3,"[['人行道', ['36134']]]",ㄖㄣˊ ㄒㄧㄥˊ ㄉㄠˋ,rénxíngdào,sidewalk
1716,1717,塞車,進階,第4級,5.交通、旅遊,3,4,"[['塞車', ['38772']]]",ㄙㄞ ㄔㄜ,sāichē,traffic jam
1717,1718,森林,進階,第4級,5.交通、旅遊,56,114,"[['森林', ['38952']]]",ㄙㄣ ㄌㄧㄣˊ,sēnlín,"forest, CL:片[pian4]"
1718,1719,石頭/石,進階,第4級,5.交通、旅遊,130,147,"[['石頭', ['33306']], ['石', ['7960', '33295']]]",ㄕˊ ˙ㄊㄡ/ㄕˊ,shítou/shí,"stone, CL:塊|块[kuai4]"
1719,1720,趟,進階,第4級,5.交通、旅遊,50,72,"[['趟', ['10652']]]",ㄊㄤˋ,tàng,"classifier for times, round trips or rows, a time, a trip"
1720,1721,鐵路,進階,第4級,5.交通、旅遊,28,42,"[['鐵路', ['10897']]]",ㄊㄧㄝˇ ㄌㄨˋ,tiělù,"railroad, railway, CL:條|条[tiao2]"
1721,1722,溫暖,進階,第4級,5.交通、旅遊,54,95,"[['溫暖', ['43816']]]",ㄨㄣ ㄋㄨㄢˇ,wēnnuǎn,warm
1722,1723,線,進階,第4級,5.交通、旅遊,66,92,"[['線', ['27528']]]",ㄒㄧㄢˋ,xiàn,"thread, string, wire, line, CL:條|条[tiao2], 股[gu3], 根[gen1], (after a number) tier (unofficial ranking of a Chinese city)"
1723,1724,愛情,進階,第4級,6.社交、人際,78,12,"[['愛情', ['39561']]]",ㄞˋ ㄑㄧㄥˊ,àiqíng,"romance, love (romantic), CL:份[fen4]"
1724,1725,抱歉,進階,第4級,6.社交、人際,30,12,"[['抱歉', ['779']]]",ㄅㄠˋ ㄑㄧㄢˋ,bàoqiàn,"to be sorry, to feel apologetic, sorry!"
1725,1726,打招呼,進階,第4級,6.社交、人際,20,15,"[['打招呼', ['6882']]]",ㄉㄚˇ ㄓㄠ ㄏㄨ,dǎzhāohū,"to greet sb by word or action, to give prior notice"
1726,1727,典禮,進階,第4級,6.社交、人際,16,15,"[['典禮', ['8798']]]",ㄉㄧㄢˇ ㄌㄧˇ,diǎnlǐ,"celebration, ceremony"
1727,1728,分享,進階,第4級,6.社交、人際,75,258,"[['分享', ['5758']]]",ㄈㄣ ㄒㄧㄤˇ,fēnxiǎng,to share (let others have some of sth good)
1728,1729,感情,進階,第4級,6.社交、人際,106,81,"[['感情', ['16433']]]",ㄍㄢˇ ㄑㄧㄥˊ,gǎnqíng,"emotion, sentiment, affection, feelings between two persons, CL:個|个[ge4], 種|种[zhong3]"
1729,1730,恭喜,進階,第4級,6.社交、人際,7,31,"[['恭喜', ['17860']]]",ㄍㄨㄥ ㄒㄧˇ,gōngxǐ,"to congratulate, (interj.) congratulations!"
1730,1731,婚禮,進階,第4級,6.社交、人際,24,25,"[['婚禮', ['20868']]]",ㄏㄨㄣ ㄌㄧˇ,hūnlǐ,"wedding ceremony, wedding, CL:場|场[chang3]"
1731,1732,紀念,進階,第4級,6.社交、人際,31,36,"[['紀念', ['21583']]]",ㄐㄧˋ ㄋㄧㄢˋ,jìniàn,"to commemorate, to honor the memory of, memento, keepsake, souvenir"
1732,1733,交換,進階,第4級,6.社交、人際,39,37,"[['交換', ['22314']]]",ㄐㄧㄠ ㄏㄨㄢˋ,jiāohuàn,"to exchange, to swap, to switch (telecom), commutative (math), to commute"
1733,1734,聯絡,進階,第4級,6.社交、人際,31,30,"[['聯絡', ['14729']]]",ㄌㄧㄢˊ ㄌㄨㄛˋ,liánluò,"to get in touch with, to contact, to stay in contact (with), liaison, (math.) connection"
1734,1735,留言,進階,第4級,6.社交、人際,9,5,"[['留言', ['14566']]]",ㄌㄧㄡˊ ㄧㄢˊ,liúyán,"to leave a message, to leave one's comments, message"
1735,1736,名片,進階,第4級,6.社交、人際,22,6,"[['名片', ['4797']]]",ㄇㄧㄥˊ ㄆㄧㄢˋ,míngpiàn,(business) card
1736,1737,親切,進階,第4級,6.社交、人際,31,15,"[['親切', ['25359']]]",ㄑㄧㄣ ㄑㄧㄝˋ,qīnqiè,"amiable, cordial, close and dear, familiar"
1737,1738,慶祝,進階,第4級,6.社交、人際,18,31,"[['慶祝', ['25831']]]",ㄑㄧㄥˋ ㄓㄨˋ,qìngzhù,to celebrate
1738,1739,熱情,進階,第4級,6.社交、人際,78,67,"[['熱情', ['35945']]]",ㄖㄜˋ ㄑㄧㄥˊ,rèqíng,"cordial, enthusiastic, passion, passionate, passionately"
