Column1,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
11244,11245,街友,精熟,第7級,,1,3,[],ㄐㄧㄝ ㄧㄡˇ,jiēyǒu,FALSE,homeless people
11250,11251,接踵而至,精熟,第7級,,2,1,[],ㄐㄧㄝ ㄓㄨㄥˇ ㄦˊ ㄓˋ,jiēzhǒngérzhì,FALSE,one after another; continuous
11252,11253,藉助,精熟,第7級,,4,3,"[['藉助', ['22283']]]",ㄐㄧㄝˋ ㄓㄨˋ,jièzhù,FALSE,relying on the help of others or things
11266,11267,金光閃閃,精熟,第7級,,0,0,[],ㄐㄧㄣ ㄍㄨㄤ ㄕㄢˇ ㄕㄢˇ,jīnguāngshǎnshǎn,FALSE,brilliant; dazzling; sparkling
11275,11276,筋疲力竭,精熟,第7級,,5,1,"[['筋疲力竭', ['23217']]]",ㄐㄧㄣ ㄆㄧˊ ㄌㄧˋ ㄐㄧㄝˊ,jīnpílìjié,FALSE,very tired
11277,11278,盡其所能,精熟,第7級,,2,1,[],ㄐㄧㄣˋ ㄑㄧˊ ㄙㄨㄛˇ ㄋㄥˊ,jìnqísuǒnéng,FALSE,to do the best of your ability
11283,11284,盡失,精熟,第7級,,4,1,[],ㄐㄧㄣˋ ㄕ,jìnshī,FALSE,"totally lost, completely gone"
11288,11289,浸淫,精熟,第7級,,4,1,"[['浸淫', ['23314']]]",ㄐㄧㄣˋ ㄧㄣˊ,jìnyín,FALSE,to penetrate; to gradually get closer
11289,11290,金銀財寶,精熟,第7級,,4,1,[],ㄐㄧㄣ ㄧㄣˊㄘㄞˊ ㄅㄠˇ,jīnyíncáibǎo,FALSE,money and treasures (generally refers to money)
11292,11293,緊張兮兮,精熟,第7級,,2,1,[],ㄐㄧㄣˇ ㄓㄤ ㄒㄧ ㄒㄧ,jǐnzhāngxīxī,FALSE,being too easy to nervous
11294,11295,緊追不捨,精熟,第7級,,2,0,"[['緊追不捨', ['23261']]]",ㄐㄧㄣˇ ㄓㄨㄟ ㄅㄨˋ ㄕㄜˇ,jǐnzhuībùshě,FALSE,to follow closely behind and refuse to give up (e.g. when a police catches a thief)
11332,11333,井水,精熟,第7級,,3,1,[],ㄐㄧㄥˇ ㄕㄨㄟˇ,jǐngshuǐ,FALSE,water from a well
11338,11339,驚豔,精熟,第7級,,3,4,"[['驚豔', ['45214']]]",ㄐㄧㄥ ㄧㄢˋ,jīngyàn,FALSE,"be marvel at the beauty (of women’s appearance, of things)"
11384,11385,局外人,精熟,第7級,,4,1,"[['局外人', ['23894']]]",ㄐㄩˊ ㄨㄞˋ ㄖㄣˊ,júwàirén,FALSE,a person who has nothing to do with; outsider
11386,11387,鉅細靡遺,精熟,第7級,,4,2,"[['鉅細靡遺', ['23997']]]",ㄐㄩˋ ㄒㄧˋ ㄇㄧˇ ㄧˊ,jùxìmǐyí,FALSE,to do things very carefully
11402,11403,決然,精熟,第7級,,3,5,"[['決然', ['24102']]]",ㄐㄩㄝˊ ㄖㄢˊ,juérán,FALSE,"resolute, definitive, undoubtedly"
11403,11404,絕少,精熟,第7級,,2,1,[],ㄐㄩㄝˊ ㄕㄠˇ,juéshǎo,FALSE,"very little, very few"
11420,11421,據以,精熟,第7級,,3,0,[],ㄐㄩˋㄧˇ,jùyǐ,FALSE,according to
11432,11433,慨然,精熟,第7級,,2,0,"[['慨然', ['18236']]]",ㄎㄞˇ ㄖㄢˊ,kǎirán,FALSE,with deep feeling
11452,11453,克敵,精熟,第7級,,3,1,"[['克敵', ['18030']]]",ㄎㄜˋ ㄉㄧˊ,kèdí,FALSE,to defeat the enemy
11469,11470,空檔,精熟,第7級,,9,8,"[['空檔', ['18909', '18977']]]",ㄎㄨㄥˋ ㄉㄤˇ,kòngdǎng,TRUE,"gap (between two objects)​, interval of time (between events)​, opening in one's schedule, free time, (fig.)​ gap (in the market etc)​"
11492,11493,苦讀,精熟,第7級,,4,3,[],ㄎㄨˇ ㄉㄨˊ,kǔdú,FALSE,to study hard
11495,11496,枯黃,精熟,第7級,,2,3,[],ㄎㄨ ㄏㄨㄤˊ,kūhuáng,FALSE,yellow and withered (e.g. for autumn leaves)
11512,11513,誇讚,精熟,第7級,,4,1,"[['誇讚', ['18636']]]",ㄎㄨㄚ ㄗㄢˋ,kuāzàn,FALSE,to praise
11531,11532,綑綁,精熟,第7級,,3,3,"[['綑綁', ['18824']]]",ㄎㄨㄣˇ ㄅㄤˇ,kǔnbǎng,FALSE,to tie with rope; to constrain; to bind
11534,11535,困難重重,精熟,第7級,,2,3,[],ㄎㄨㄣˋ ㄋㄢˊㄔㄨㄥˊ ㄔㄨㄥˊ,kùnnánchóngchóng,FALSE,to have many difficulties in doing something
11539,11540,來來往往,精熟,第7級,,2,2,"[['來來往往', ['13278']]]",ㄌㄞˊ ㄌㄞˊ ㄨㄤˇ ㄨㄤˇ,láiláiwǎngwǎng,FALSE,frequent visits
11542,11543,來勢洶洶,精熟,第7級,,2,3,[],ㄌㄞˊ ㄕˋ ㄒㄩㄥ ㄒㄩㄥ,láishìxiōngxiōng,FALSE,describes the grand arrival of things or actions
11557,11558,牢不可破,精熟,第7級,,2,0,"[['牢不可破', ['13425']]]",ㄌㄠˊ ㄅㄨˋ ㄎㄜˇ ㄆㄛˋ,láobùkěpò,FALSE,firm and unbreakable; describes things or ideas that are fixed and difficult to break or change
11596,11597,歷久不衰,精熟,第7級,,3,1,"[['歷久不衰', ['14260']]]",ㄌㄧˋ ㄐㄧㄡˇ ㄅㄨˋ ㄕㄨㄞ,lìjiǔbùshuāi,FALSE,lasts for a long time without fading
11610,11611,立意,精熟,第7級,,3,3,"[['立意', ['14166']]]",ㄌㄧˋ ㄧˋ,lìyì,FALSE,"to conceptualize; to come up with the central idea, concept; central idea, to be determined (to do sth)"
11612,11613,立於,精熟,第7級,,4,0,[],ㄌㄧˋ ㄩˊ,lìyú,FALSE,be located at
11621,11622,連根拔起,精熟,第7級,,0,0,"[['連根拔起', ['14636']]]",ㄌㄧㄢˊ ㄍㄣ ㄅㄚˊ ㄑㄧˇ,liángēnbáqǐ,FALSE,to uproot
11640,11641,兩頰,精熟,第7級,,3,1,"[['兩頰', ['15010']]]",ㄌㄧㄤˇ ㄐㄧㄚˊ,liǎngjiá,FALSE,left and right cheeks
11682,11683,凜然,精熟,第7級,,3,1,"[['凜然', ['14922']]]",ㄌㄧㄣˇ ㄖㄢˊ,lǐnrán,FALSE,"an upright attitude, a strict personality"
11685,11686,領兵,精熟,第7級,,6,0,[],ㄌㄧㄥˇ ㄅㄧㄥ,lǐngbīng,FALSE,to lead the troops
11772,11773,邁開,精熟,第7級,,3,1,[],ㄇㄞˋ ㄎㄞ,màikāi,FALSE,"to take a step, to start walking out"
11790,11791,莽夫,精熟,第7級,,2,0,[],ㄇㄤˇ ㄈㄨ,mǎngfū,FALSE,a reckless man
11799,11800,卯足,精熟,第7級,,2,2,[],ㄇㄠˇ ㄗㄨˊ,mǎozú,FALSE,
11811,11812,門縫,精熟,第7級,,4,1,"[['門縫', ['4235']]]",ㄇㄣˊ ㄈㄥˋ,ménfèng,FALSE,door gap
11814,11815,悶氣,精熟,第7級,,3,2,"[['悶氣', ['4272', '4225']]]",ㄇㄣˋ ㄑㄧˋ,mènqì,FALSE,the resentment trapped in the chest
11875,11876,明快,精熟,第7級,,3,1,"[['明快', ['4889']]]",ㄇㄧㄥˊ ㄎㄨㄞˋ,míngkuài,FALSE,"cheerful and straightforward; clear and smooth, not obscure and rigid"
11888,11889,明說,精熟,第7級,,3,0,[],ㄇㄧㄥˊ ㄕㄨㄛ,míngshuō,FALSE,say it frankly
11898,11899,莫測,精熟,第7級,,3,1,[],ㄇㄛˋ ㄘㄜˋ,mòcè,FALSE,unpredictable
11926,11927,母性,精熟,第7級,,3,1,"[['母性', ['4971']]]",ㄇㄨˇ ㄒㄧㄥˋ,mǔxìng,FALSE,the mother’s instinct to love and protect her children
11944,11945,難言,精熟,第7級,,2,1,[],ㄋㄢˊ ㄧㄢˊ,nányán,FALSE,cannot be expressed in words
11996,11997,偶發,精熟,第7級,,4,1,"[['偶發', ['39663']]]",ㄡˇ ㄈㄚ,ǒufā,FALSE,happens by chance; accidental
12042,12043,蓬頭,精熟,第7級,,3,3,[],ㄆㄥˊ ㄊㄡˊ,péngtóu,FALSE,disheveled hair
12073,12074,飄蕩,精熟,第7級,,3,1,"[['飄蕩', ['3090']]]",ㄆㄧㄠ ㄉㄤˋ,piāodàng,FALSE,to wander in the air or on the water; drifting and turbulent
12102,12103,平衡點,精熟,第7級,,3,7,[],ㄆㄧㄥˊ ㄏㄥˊ ㄉㄧㄢˇ,pínghéngdiǎn,FALSE,equilibrium point
12104,12105,評鑑,精熟,第7級,,12,9,"[['評鑑', ['3383']]]",ㄆㄧㄥˊ ㄐㄧㄢˋ,píngjiàn,FALSE,to evaluate the planning and implementation results as a reference for improvement
12112,12113,平心靜氣,精熟,第7級,,3,1,"[['平心靜氣', ['3331']]]",ㄆㄧㄥˊ ㄒㄧㄣ ㄐㄧㄥˋ ㄑㄧˋ,píngxīnjìngqì,FALSE,a peaceful mood; a calm attitude
12119,12120,頗負盛名,精熟,第7級,,0,0,[],ㄆㄛˇㄈㄨˋㄕㄥˋ ㄇㄧㄥˊ,pǒfùshèngmíng,FALSE,quite famous
12128,12129,剖開,精熟,第7級,,3,2,"[['剖開', ['2738']]]",ㄆㄡˇ ㄎㄞ,pǒukāi,FALSE,to cut 
12142,12143,淒慘,精熟,第7級,,4,1,"[['淒慘', ['24384']]]",ㄑㄧ ㄘㄢˇ,qīcǎn,FALSE,desolate and miserable
12177,12178,起舞,精熟,第7級,,7,0,[],ㄑㄧˇ ㄨˇ,qǐwǔ,FALSE,get up and dance
12183,12184,起疑,精熟,第7級,,4,0,"[['起疑', ['24611']]]",ㄑㄧˇ ㄧˊ,qǐyí,FALSE,to create doubt
12232,12233,前座,精熟,第7級,,3,1,[],ㄑㄧㄢˊ ㄗㄨㄛˋ,qiánzuò,FALSE,front seat (e.g. in a car)
12235,12236,強固,精熟,第7級,,3,0,[],ㄑㄧㄤˊ ㄍㄨˋ,qiánggù,FALSE,strong and stable
12253,12254,巧遇,精熟,第7級,,3,3,"[['巧遇', ['24924']]]",ㄑㄧㄠˇ ㄩˋ,qiǎoyù,FALSE,run into someone or something by chance
12279,12280,勤於,精熟,第7級,,3,2,[],ㄑㄧㄣˊ ㄩˊ,qínyú,FALSE,diligent in
12291,12292,輕忽,精熟,第7級,,5,4,"[['輕忽', ['25687']]]",ㄑㄧㄥ ㄏㄨ,qīnghū,FALSE,to neglect 
12304,12305,傾身,精熟,第7級,,3,0,[],ㄑㄧㄥ ㄕㄣ,qīngshēn,FALSE,"to lean forward, describes being humble and respectful to others, to do one's utmost "
12319,12320,請益,精熟,第7級,,2,1,"[['請益', ['25821']]]",ㄑㄧㄥˇ ㄧˋ,qǐngyì,FALSE,"to request more detailed and clear guidance, to ask for some more"
12333,12334,求診,精熟,第7級,,3,4,"[['求診', ['25007']]]",ㄑㄧㄡˊ ㄓㄣˇ,qiúzhěn,FALSE,to seek treatment
12343,12344,屈膝,精熟,第7級,,3,0,"[['屈膝', ['25858']]]",ㄑㄩ ㄒㄧ,qūxī,FALSE,to kneel; metaphor of surrender 
12368,12369,趨前,精熟,第7級,,3,0,[],ㄑㄩㄑㄧㄢˊ,qūqiántuìhòu,FALSE,to incline body forward
12381,12382,人本,精熟,第7級,,5,2,[],ㄖㄣˊ ㄅㄣˇ,rénběn,FALSE,humanism
12383,12384,人和,精熟,第7級,,4,2,"[['人和', ['36100']]]",ㄖㄣˊ ㄏㄜˊ,rénhé,FALSE,unity and harmony between people
12384,12385,人跡,精熟,第7級,,3,1,"[['人跡', ['36104']]]",ㄖㄣˊ ㄐㄧ,rénjī,FALSE,human trace
12385,12386,人來人往,精熟,第7級,,2,1,[],ㄖㄣˊ ㄌㄞˊ ㄖㄣˊ ㄨㄤˇ,rénláirénwǎng,FALSE,people coming and going
12386,12387,人面,精熟,第7級,,3,6,[],ㄖㄣˊ ㄇㄧㄢˋ,rénmiàn,FALSE,people face; people
12400,12401,日曬,精熟,第7級,,3,9,[],ㄖˋ ㄕㄞˋ,rìshài,FALSE,sundried
12417,12418,如常,精熟,第7級,,3,1,"[['如常', ['36342']]]",ㄖㄨˊ ㄔㄤˊ,rúcháng,FALSE,as usual
12445,12446,三思,精熟,第7級,,4,1,"[['三思', ['38912']]]",ㄙㄢ ㄙ,sānsī,FALSE,to think twice
12466,12467,殺身,精熟,第7級,,4,1,"[['殺身', ['33849']]]",ㄕㄚ ㄕㄣ,shāshēn,FALSE,to give up one's life; to lose one's life
12482,12483,擅於,精熟,第7級,,4,1,[],ㄕㄢˋ ㄩˊ,shànyú,FALSE,specialize in
12487,12488,上策,精熟,第7級,,3,1,"[['上策', ['34947']]]",ㄕㄤˋ ㄘㄜˋ,shàngcè,FALSE,a clever strategy or method
12495,12496,上昇,精熟,第7級,,4,1,[],ㄕㄤˋ ㄕㄥ,shàngshēng,FALSE,to rise
12507,12508,燒毀,精熟,第7級,,7,6,"[['燒毀', ['34038']]]",ㄕㄠ ㄏㄨㄟˇ,shāohuǐ,FALSE,burned down
12510,12511,稍作,精熟,第7級,,2,1,[],ㄕㄠ ㄗㄨㄛˋ,shāozuò,FALSE,slightly
12518,12519,涉水,精熟,第7級,,4,6,[],ㄕㄜˋ ㄕㄨㄟˇ,shèshuǐ,FALSE,to wade through the water 
12521,12522,設限,精熟,第7級,,3,3,"[['設限', ['33986']]]",ㄕㄜˋ ㄒㄧㄢˋ,shèxiàn,FALSE,to set scope or boundaries
12534,12535,深覺,精熟,第7級,,2,1,[],ㄕㄣ ㄐㄩㄝˊ,shēnjué,FALSE,to realize
12536,12537,神迷,精熟,第7級,,3,0,[],ㄕㄣˊ ㄇㄧˊ,shén​mí,FALSE,
12542,12543,身受,精熟,第7級,,3,2,"[['身受', ['34621']]]",ㄕㄣ ㄕㄡˋ,shēnshòu,FALSE,to feel it personally
12546,12547,深鎖,精熟,第7級,,3,2,[],ㄕㄣ ㄙㄨㄛˇ,shēnsuǒ,FALSE,locked tight
12558,12559,神遊,精熟,第7級,,2,0,"[['神遊', ['34740']]]",ㄕㄣˊ ㄧㄡˊ,shényóu,FALSE,journey of thought
12566,12567,深植,精熟,第7級,,4,3,[],ㄕㄣ ㄓˊ,shēnzhí,FALSE,to deeply cultivate
12576,12577,昇華,精熟,第7級,,6,3,"[['昇華', ['35002']]]",ㄕㄥ ㄏㄨㄚˊ,shēnghuá,FALSE,sublimation; a metaphor for the improvement of the realm of things
12591,12592,聲色,精熟,第7級,,5,4,"[['聲色', ['35145']]]",ㄕㄥ ㄙㄜˋ,shēngsè,FALSE,the voice and appearance when speaking; lustful music and beauty; physiognomy; information
12609,12610,身居,精熟,第7級,,3,0,[],ㄕㄣㄐㄩ,shēnjū,FALSE,to live in
12614,12615,使臣,精熟,第7級,,7,0,"[['使臣', ['33474']]]",ㄕˇ ㄔㄣˊ,shǐchén,FALSE,officials who travel internationally on mission; a military attache responsible for arresting criminals in the Song Dynasty; music officer of the court
12639,12640,使力,精熟,第7級,,4,1,[],ㄕˇ ㄌㄧˋ,shǐlì,FALSE,to exert oneself
12646,12647,士氣大振,精熟,第7級,,0,0,[],ㄕˋ ㄑㄧˋㄉㄚˋ ㄓㄣˋ,shìqìdàzhèn,FALSE,morale boosted (used in military)
12678,12679,食指大動,精熟,第7級,,0,0,"[['食指大動', ['33350']]]",ㄕˊ ㄓˇ ㄉㄚˋ ㄉㄨㄥˋ,shízhǐdàdòng,FALSE,"to indicate that there will be something delicious to eat, or that the appetite will be whetted by delicious food"
12689,12690,適於,精熟,第7級,,3,1,[],ㄕˋㄩˊ,shìyú,FALSE,suitable for
12693,12694,受創,精熟,第7級,,4,2,[],ㄕㄡˋ ㄔㄨㄤ,shòuchuāng,FALSE,to be damaged
12697,12698,受罰,精熟,第7級,,3,0,"[['受罰', ['34297']]]",ㄕㄡˋ ㄈㄚˊ,shòufá,FALSE,to get punishment
12717,12718,首尾呼應,精熟,第7級,,0,0,[],ㄕㄡˇ ㄨㄟˇㄏㄨ ㄧㄥˋ,shǒuwěihūyìng,FALSE,to write the entire article coherently
12755,12756,率兵,精熟,第7級,,7,1,[],ㄕㄨㄞˋ ㄅㄧㄥ,shuàibīng,FALSE,to lead the troops
12774,12775,說詞,精熟,第7級,,4,1,[],ㄕㄨㄛ ㄘˊ,shuōcí,FALSE,words to justify oneself
12822,12823,松林,精熟,第7級,,4,0,"[['松林', ['39279']]]",ㄙㄨㄥ ㄌㄧㄣˊ,sōnglín,FALSE,a forest full of pine trees
12832,12833,素色,精熟,第7級,,1,1,[],ㄙㄨˋ ㄙㄜˋ,sùsè,FALSE,earth tone color 
12846,12847,隨興,精熟,第7級,,4,2,"[['隨興', ['39184']]]",ㄙㄨㄟˊ ㄒㄧㄥˋ,suíxìng,FALSE,to do as you please
12854,12855,所有人,精熟,第7級,,5,2,[],ㄙㄨㄛˇ ㄧㄡˇ ㄖㄣˊ,suǒyǒurén,FALSE,everyone; owner
12857,12858,撻伐,精熟,第7級,,2,3,"[['撻伐', ['9957']]]",ㄊㄚˋ ㄈㄚ,tàfā,FALSE,conquest
12865,12866,抬頭挺胸,精熟,第7級,,2,3,"[['抬頭挺胸', ['10048']]]",ㄊㄞˊ ㄊㄡˊ ㄊㄧㄥˇ ㄒㄩㄥ,táitóutǐngxiōng,FALSE,upright body
12902,12903,滔天,精熟,第7級,,3,1,"[['滔天', ['10160']]]",ㄊㄠ ㄊㄧㄢ,tāotiān,FALSE,all over the sky
12935,12936,添購,精熟,第7級,,2,3,"[['添購', ['11243']]]",ㄊㄧㄢ ㄍㄡˋ,tiāngòu,FALSE,additional purchase
12939,12940,天昏地暗,精熟,第7級,,3,0,[],ㄊㄧㄢ ㄏㄨㄣ ㄉㄧˋ ㄢˋ,tiānhūndìàn,FALSE,dark and dull (sky); describes extreme behavior; a metaphor for political corruption and disorder of discipline
13000,13001,同夥,精熟,第7級,,4,1,"[['同夥', ['11982']]]",ㄊㄨㄥˊ ㄏㄨㄛˇ,tónghuǒ,FALSE,accomplice
13017,13018,桶子,精熟,第7級,,4,10,"[['桶子', ['12080']]]",ㄊㄨㄥˇ ˙ㄗ,tǒngzi,FALSE,bucket
13052,13053,徒增,精熟,第7級,,2,1,[],ㄊㄨˊ ㄗㄥ,tú​zēng,FALSE,to increase
13061,13062,退居,精熟,第7級,,3,1,"[['退居', ['11781']]]",ㄊㄨㄟˋ ㄐㄩ,tuìjū,FALSE,to retreat to seclusion; to be relegated to a lower position; a place to rest and sit
13083,13084,託付,精熟,第7級,,3,1,"[['託付', ['11587']]]",ㄊㄨㄛ ㄈㄨˋ,tuōfù,FALSE,to entrust; to trust; to commission
13133,13134,尾端,精熟,第7級,,3,2,"[['尾端', ['43460']]]",ㄨㄟˇ ㄉㄨㄢ,wěiduān,FALSE,the end of something (e.g. belt)
13139,13140,為害,精熟,第7級,,2,1,"[['為害', ['43341']]]",ㄨㄟˊ ㄏㄞˋ,wéihài,FALSE,to cause harm
13162,13163,娓娓道來,精熟,第7級,,3,1,"[['娓娓道來', ['43470']]]",ㄨㄟˇ ㄨㄟˇ ㄉㄠˋ ㄌㄞˊ,wěiwěidàolái,FALSE,to speak continuously without interruption
13166,13167,為宜,精熟,第7級,,3,0,[],ㄨㄟˊ ㄧˊ,wéiyí,FALSE,subjectively believes that doing the aforementioned event is a better choice. Often used as “以...為宜”.　
13213,13214,無懼,精熟,第7級,,3,1,[],ㄨˊ ㄐㄩˋ,wújù,FALSE,fearless
13220,13221,無門,精熟,第7級,,3,1,[],ㄨˊㄇㄣˊ,wúmén,FALSE,no way out
13224,13225,無奇,精熟,第7級,,2,1,[],ㄨˊ ㄑㄧˊ,wúqí,FALSE,nothing interesting
13236,13237,無畏,精熟,第7級,,3,1,"[['無畏', ['42881']]]",ㄨˊ ㄨㄟˋ,wúwèi,FALSE,no fear; (Buddhist terms) refers to having confidence in oneself
13245,13246,無依,精熟,第7級,,2,2,[],ㄨˊ ㄧ,wúyī,FALSE,to not rely on anything
13247,13248,無憂,精熟,第7級,,3,1,[],ㄨˊ ㄧㄡ,wúyōu,FALSE,no worries
13265,13266,細讀,精熟,第7級,,3,0,[],ㄒㄧˋ ㄉㄨˊ,xìdú,FALSE,"to read carefully, to peruse, to study"
13277,13278,嬉鬧,精熟,第7級,,2,1,"[['嬉鬧', ['26320']]]",ㄒㄧ ㄋㄠˋ,xīnào,FALSE,playful and laughing
13294,13295,嘻嘻哈哈,精熟,第7級,,2,1,[],ㄒㄧ ㄒㄧ ㄏㄚ ㄏㄚ,xīxīhāhā,FALSE,describes the sound of laughter and joy
13296,13297,細想,精熟,第7級,,3,0,[],ㄒㄧˋ ㄒㄧㄤˇ,xìxiǎng,FALSE,to think carefully; to think over
13300,13301,繫於,精熟,第7級,,4,1,[],ㄒㄧˋ ㄩˊ,xìyú,FALSE,be attached to
13308,13309,下肚,精熟,第7級,,4,1,[],ㄒㄧㄚˋ ㄉㄨˋ,xiàdù,FALSE,to eat; to drink
13318,13319,下嚥,精熟,第7級,,3,1,"[['下嚥', ['45292']]]",ㄒㄧㄚˋ ㄧㄢˋ,xiàyàn,FALSE,to swallow
13328,13329,閒話家常,精熟,第7級,,2,1,"[['閒話家常', ['27369']]]",ㄒㄧㄢˊ ㄏㄨㄚˋ ㄐㄧㄚ ㄔㄤˊ,xiánhuàjiācháng,FALSE,to chat casually about everyday matters
13363,13364,相告,精熟,第7級,,3,0,[],ㄒㄧㄤ ㄍㄠˋ,xiānggào,FALSE,to tell
13371,13372,相讓,精熟,第7級,,2,0,"[['相讓', ['27902']]]",ㄒㄧㄤ ㄖㄤˋ,xiāngràng,FALSE,to be humble and give in to each other
13376,13377,鄉野,精熟,第7級,,3,2,"[['鄉野', ['27984']]]",ㄒㄧㄤ ㄧㄝˇ,xiāngyě,FALSE,wild and remote places
13380,13381,相知,精熟,第7級,,3,3,"[['相知', ['27893']]]",ㄒㄧㄤ ㄓ,xiāngzhī,FALSE,to interact with each other and understand each other; a close friend
13382,13383,詳加,精熟,第7級,,3,1,[],ㄒㄧㄤˊㄐㄧㄚ,xiángjiā,FALSE,in details
13415,13416,洩露,精熟,第7級,,4,1,"[['洩露', ['26835']]]",ㄒㄧㄝˋ ㄌㄨˋ,xièlù,FALSE,(things that should not be known) be known
13428,13429,心不甘情不願,精熟,第7級,,2,2,[],ㄒㄧㄣ ㄅㄨˋ ㄍㄢ ㄑㄧㄥˊㄅㄨˊㄩㄢˋ,xīnbùgānqíngbúyuàn,FALSE,begrudgingly
13432,13433,心防,精熟,第7級,,3,1,[],ㄒㄧㄣ ㄈㄤˊ,xīnfáng,FALSE,psychological defense
13438,13439,薪火,精熟,第7級,,1,0,[],ㄒㄧㄣ ㄏㄨㄛˇ,xīnhuǒ,FALSE,torch; (Buddhist terms) body and mind
13446,13447,心路歷程,精熟,第7級,,4,4,"[['心路歷程', ['27612']]]",ㄒㄧㄣ ㄌㄨˋ ㄌㄧˋ ㄔㄥˊ,xīnlùlìchéng,FALSE,the process in one's mind
13447,13448,心念,精熟,第7級,,4,8,"[['心念', ['27602']]]",ㄒㄧㄣ ㄋㄧㄢˋ,xīnniàn,FALSE,longing in one's heart
13458,13459,心窩,精熟,第7級,,2,1,"[['心窩', ['27699']]]",ㄒㄧㄣ ㄨㄛ,xīnwō,FALSE,the center of the chest; heart
13487,13488,省思,精熟,第7級,,6,16,"[['省思', ['28282']]]",ㄒㄧㄥˇ ㄙ,xǐngsī,FALSE,reflective thinking
13489,13490,形塑,精熟,第7級,,7,2,[],ㄒㄧㄥˊ ㄙㄨˋ,xíngsù,FALSE,to shape
13506,13507,熊熊烈火,精熟,第7級,,0,0,[],ㄒㄩㄥˊ ㄒㄩㄥˊㄌㄧㄝˋ ㄏㄨㄛˇ,xióngxiónglièhuǒ,FALSE,strong and violent fire
13568,13569,學養,精熟,第7級,,2,2,"[['學養', ['28524']]]",ㄒㄩㄝˊ ㄧㄤˇ,xuéyǎng,FALSE,knowledgeable and accomplished
13576,13577,迅雷不及掩耳,精熟,第7級,,2,1,"[['迅雷不及掩耳', ['28768']]]",ㄒㄩㄣˋ ㄌㄟˊ ㄅㄨˋ ㄐㄧˊ ㄧㄢˇ ㄦˇ,xùnléibùjíyǎněr,FALSE,"the thunder suddenly sounded, and it was too late to cover your ears; a metaphor for moving so quickly and making people unprepared. "
13577,13578,訓練有素,精熟,第7級,,4,2,[],ㄒㄩㄣˋ ㄌㄧㄢˋ ㄧㄡˇ ㄙㄨˋ,xùnliànyǒusù,FALSE,"after systematic and rigorous training, has achieved a certain level of effectiveness."
13582,13583,勳章,精熟,第7級,,4,1,[],ㄒㄩㄣ ㄓㄤ,xūnzhāng,FALSE,"order; a visible honour awarded by a sovereign state, monarch, dynastic house or organisation to a person"
13594,13595,壓軸,精熟,第7級,,1,1,"[['壓軸', ['40803']]]",ㄧㄚ ㄓㄡˊ,yāzhóu,FALSE,a metaphor for the most exciting and eye-catching programs or events
13597,13598,岩壁,精熟,第7級,,3,3,"[['岩壁', ['41701']]]",ㄧㄢˊ ㄅㄧˋ,yánbì,FALSE,wall made of rock
13606,13607,眼花撩亂,精熟,第7級,,4,3,"[['眼花撩亂', ['41813']]]",ㄧㄢˇ ㄏㄨㄚ ㄌㄧㄠˊ ㄌㄨㄢˋ,yǎnhuāliáoluàn,FALSE,describes blurry eyes and confusion
13608,13609,沿街,精熟,第7級,,3,2,"[['沿街', ['41688']]]",ㄧㄢˊ ㄐㄧㄝ,yánjiē,FALSE,close to the street
13613,13614,豔麗,精熟,第7級,,2,1,"[['豔麗', ['41921']]]",ㄧㄢˋ ㄌㄧˋ,yànlì,FALSE,bright and beautiful
13630,13631,豔陽,精熟,第7級,,3,3,"[['豔陽', ['41923']]]",ㄧㄢˋ ㄧㄤˊ,yànyáng,FALSE,beautiful spring scenery; gorgeous sunshine
13631,13632,研議,精熟,第7級,,1,1,"[['研議', ['41681']]]",ㄧㄢˊ ㄧˋ,yányì,FALSE,discussion
13638,13639,揚棄,精熟,第7級,,3,1,"[['揚棄', ['42280']]]",ㄧㄤˊ ㄑㄧˋ,yángqì,FALSE,to abandon
13648,13649,藥廠,精熟,第7級,,5,3,"[['藥廠', ['41176']]]",ㄧㄠˋ ㄔㄤˇ,yàochǎng,FALSE,pharmaceutical factory
13662,13663,要脅,精熟,第7級,,2,1,"[['要脅', ['41023']]]",ㄧㄠ ㄒㄧㄝˊ,yāoxié,FALSE,to rely on something to force others to obey
13670,13671,野心勃勃,精熟,第7級,,3,1,"[['野心勃勃', ['40902']]]",ㄧㄝˇ ㄒㄧㄣ ㄅㄛˊ ㄅㄛˊ,yěxīnbóbó,FALSE,describes arrogance or lofty ambitions
13681,13682,一臂之力,精熟,第7級,,3,2,"[['一臂之力', ['39976']]]",ㄧˊ ㄅㄧˋ ㄓ ㄌㄧˋ,yíbìzhīlì,FALSE,the strength of one arm; a metaphor for aid given from one's side
13692,13693,一動也不動,精熟,第7級,,0,0,[],ㄧˊ ㄉㄨㄥˋ ㄧㄝˇ ㄅㄨˊ ㄉㄨㄥˋ,yídòngyěbúdòng,FALSE,not moving at all
13719,13720,一屁股,精熟,第7級,,3,0,[],ㄧˊ ㄆㄧˋ ㄍㄨˇ,yípìgǔ,FALSE,describes sitting down without hesitation; describes a large number
13720,13721,藝品,精熟,第7級,,2,5,"[['藝品', ['40729']]]",ㄧˋ ㄆㄧㄣˇ,yìpǐn,FALSE,"creative finished products of arts, crafts, etc."
